Council_ID,Location,Site,Type,Accessible,Ambulant,DDA_Access,DoorsAuto,SocialUse,Lat,Long
00137572,"No 2 Change Rooms Public Toilets, Burnett St, Sebastopol",Marty Busch Reserve,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,-37.6035411253184,143.844745293213
00036912,"Public Toilets (adj Main Gates), Burnett St, Sebastopol",Marty Busch Reserve,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,-37.6032350701884,143.842168436612
00036914,"Public Toilets (adj Gun Club), Burnett St, Sebastopol",Marty Busch Reserve,B-Public Toilet,2,Not Applicable,No,No,Public Facilities,-37.603210548855,143.846662190798
00228173,"Toilet / Plant Room, Midlands Res. Water Play Space, Doveton Street North, Ballarat North, ",Midlands Reserve,B-Public Toilet,1,Not Applicable,Yes,Not Applicable,Not Applicable,1.#QNAN,1.#QNAN
00036922,"Public Toilets, 19 Albert St, Miners Rest",Miners Rest Reserve,B-Public Toilet,Not Applicable,Not Applicable,Yes,No,Public Facilities,-37.4806413940983,143.796942830166
00137573,"Public Toilets (Ballarat Dog Club), Cnr Pleasant St Sth & Rubicon St, Redan",Morshead Park,B-Public Toilet,1,Not Applicable,Yes,No,Sport & Recreation,-37.5806140354953,143.833243052342
00036934,"Public Toilets, Mt Buninyong Reserve, Buninyong",Mount Buninyong,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,-37.6534546350368,143.926599850867
00036937,"Public Toilets, 900 Barkly St, Mt Pleasant",Mount Pleasant Reserve,B-Public Toilet,No,No,No,No,Public Facilities,-37.5770958051032,143.850595899093
00036943,"North Gardens Reserve, Public Toilets Male, 411 Wendouree Pde, Lake Wendouree",North Gardens Reserve,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.5458384091625,143.822842503427
00036944,"North Gardens Reserve, Public Toilets Female, 411 Wendouree Pde, Lake Wendouree",North Gardens Reserve,B-Public Toilet,Not Applicable,Not Applicable,No,No,Public Facilities,-37.5459060860306,143.822694816998
00036946,"North Gardens Reserve, Public Toilets Disabled, 411 Wendouree Pde, Lake Wendouree",North Gardens Reserve,B-Public Toilet,2,Not Applicable,No,No,Public Facilities,-37.5458261284569,143.822632823384
00205321,"North Gardens Reserve, Nth. Gardens Toilets Common Infrustructure, 411 Wendouree Pde, Lake Wendouree",North Gardens Reserve,B-Public Toilet,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public Facilities,-37.5458642278571,143.822757439515
00036979,"Public Toilets, Stawell St Nth, Brown Hill",Russell Square,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,-37.5559731430113,143.884257091657
00036984,"Toilets, Midland Hwy, Scotsburn",Scotsburn Hall Reserve,B-Public Toilet,Not Applicable,Not Applicable,No,No,Community,-37.6702736510472,143.928105109773
00036995,"South Gardens Reserve, Public Toilets, 401 Wendouree Pde, Lake Wendouree",South Gardens Reserve,B-Public Toilet,2,Not Applicable,Yes,No,Public Facilities,-37.5510250852444,143.821811901346
00036532,"Public Toilets, off Magpie St (West side Sovereign Hill), Golden Point",Golden Point Lookout,B-Public Toilet,Not Applicable,1,Not Applicable,No,Public Facilities,-37.5782018576985,143.864638808664
00037020,"Public Toilets, Sturt St, Newington",Victoria Park,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,-37.5574366497121,143.82207896438
00150685,"Public Toilets (2012), 253 Vickers St, Sebastopol",Victory Park,B-Public Toilet,1,No,No,No,Public Facilities,-37.5933472581453,143.838869274768
00037041,"Public Toilets, Cnr Gillies St Nth & Norman St, Wendouree West",Weeramar Park,B-Public Toilet,2,Not Applicable,Yes,No,Public Facilities,-37.5317120364784,143.822654419522
00037049,"Public Toilets, Cnr Pleasant St Sth & Eyre St, Ballarat Central",Western Oval Reserve,B-Public Toilet,Not Applicable,Not Applicable,Not Applicable,No,Public Facilities,-37.5644829587706,143.838623016825
00037053,"Public Toilets, Hickman St, Ballarat Central",White Flat Oval Reserve,B-Public Toilet,Not Applicable,Not Applicable,Not Applicable,No,Public Facilities,-37.5679069530557,143.856410015702
00036535,"Public Toilets, Car park of Howitt St Shopping Centre, 1221T Howitt Street, Wendouree",Howitt Street Shopping Centre,B-Public Toilet,1,Not Applicable,Yes,No,Public Facilities,1.#QNAN,1.#QNAN
00250584,"Public Toilet (Exeloo), Alfred Walk, Ballarat",Alfred Walk,B-Public Toilet,1,1,Yes,Yes,Public Facilities,1.#QNAN,1.#QNAN
