Street,From,To,Side,Capacity*,13/05/2016 8:00,13/05/2016 9:30,13/05/2016 11:00,13/05/2016 12:30,13/05/2016 14:00,13/05/2016 15:30,13/05/2016 17:00,13/05/2016 21:30,14/05/2016 8:00,14/05/2016 9:30,14/05/2016 11:00,14/05/2016 12:30,14/05/2016 14:00,14/05/2016 15:30,14/05/2016 17:00
Mair Street East,East Street North,Pearse Street,South,5,20%,40%,20%,80%,60%,20%,40%,0%,0%,0%,0%,20%,0%,0%,0%
Mair Street East,East Street North,Princes Street North,South,15,53%,60%,60%,40%,40%,53%,33%,0%,33%,40%,47%,53%,47%,33%,20%
Mair Street East,Humffray Street,Pearse Street,South,6,33%,33%,17%,67%,50%,17%,33%,17%,25%,0%,25%,25%,0%,25%,50%
Mair Street East,Humffray Street,Peel Street North,North,28,4%,50%,50%,61%,50%,57%,46%,11%,0%,29%,64%,36%,36%,21%,0%
Mair Street East,Humffray Street,Peel Street North,South,22,23%,23%,36%,45%,36%,45%,5%,9%,9%,27%,36%,14%,5%,9%,0%
Mair Street East,Humffray Street,Princes Street North,North,48,44%,65%,63%,73%,73%,56%,38%,17%,15%,40%,75%,63%,54%,58%,42%
Market Street,Armstrong Street North,Doveton Street North,North,2,50%,100%,100%,100%,100%,150%,50%,0%,0%,0%,0%,0%,50%,100%,0%
Market Street,Armstrong Street North,Doveton Street North,South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Market Street,Armstrong Street North,Lydiard Street North,North,9,89%,100%,100%,100%,100%,100%,89%,44%,56%,100%,100%,100%,89%,100%,78%
Market Street,Armstrong Street North,Lydiard Street North,South,4,100%,100%,100%,125%,100%,100%,75%,50%,25%,75%,75%,100%,75%,100%,75%
McKenzie Street,Armstrong Street North,Doveton Street North,South,11,9%,82%,82%,64%,82%,82%,91%,118%,27%,82%,73%,55%,73%,45%,45%
McWilliam Street,Webster Street,End of Court,East,8,75%,100%,100%,100%,63%,25%,25%,38%,50%,63%,75%,75%,63%,88%,50%
McWilliam Street,Webster Street,End of Court,West,8,50%,50%,25%,75%,38%,25%,13%,13%,25%,38%,50%,38%,25%,25%,0%
Pearse Street,Mair Street East,Victoria Street,East,28,46%,68%,75%,82%,68%,46%,32%,4%,14%,14%,18%,18%,14%,14%,4%
Pearse Street,Mair Street East,Victoria Street,West,4,100%,100%,100%,100%,100%,100%,100%,0%,50%,50%,50%,50%,50%,50%,50%
Peel Street North,Coal Gears Road,Mair Street East,West,3,100%,100%,100%,100%,100%,100%,67%,67%,0%,67%,33%,33%,33%,33%,33%
Peel Street North,Curtis Street,Mair Street East,East,13,23%,31%,15%,46%,23%,38%,8%,8%,0%,8%,23%,23%,15%,15%,8%
Peel Street North,Curtis Street,Mair Street East,West,7,14%,43%,29%,29%,29%,57%,43%,0%,0%,14%,14%,57%,0%,14%,0%
Princes Street North,Corbett Street,Mair Street East,East,6,33%,67%,83%,100%,83%,83%,50%,0%,17%,50%,67%,50%,0%,0%,0%
Princes Street North,Corbett Street,Mair Street East,West,4,25%,25%,25%,50%,0%,25%,25%,0%,0%,25%,25%,25%,0%,50%,0%
Princes Street North,Mair Street East,Victoria Street,East,4,0%,25%,25%,0%,25%,0%,25%,0%,25%,50%,50%,25%,0%,0%,0%
Raglan Street North,Mair Street,Sturt Street,East,44,86%,95%,100%,100%,98%,66%,43%,9%,9%,9%,20%,16%,5%,2%,0%
Raglan Street North,Mair Street,Sturt Street,West,40,30%,100%,100%,60%,93%,73%,28%,8%,10%,13%,33%,33%,15%,10%,15%
Raglan Street South,Dana Street,Sturt Street,East,43,51%,100%,105%,102%,95%,72%,70%,21%,23%,44%,49%,44%,30%,16%,21%
Raglan Street South,Dana Street,Sturt Street,West,48,77%,98%,98%,98%,88%,69%,63%,31%,25%,48%,54%,54%,19%,27%,35%
Shepherd Street,Davies Street,Grenville Street North,South,13,100%,100%,100%,100%,100%,54%,38%,15%,54%,69%,69%,69%,54%,46%,8%
Shepherd Street,Davies Street,Lowe Street,South,14,7%,86%,86%,71%,64%,107%,50%,0%,0%,50%,79%,86%,64%,43%,0%
Shepherd Street,Davies Street,Peel Street North,North,9,33%,67%,89%,78%,89%,67%,33%,11%,11%,67%,100%,78%,67%,33%,33%
Shepherd Street,Lowe Street,Peel Street North,South,5,100%,100%,100%,100%,100%,100%,80%,40%,40%,100%,80%,80%,40%,60%,60%
Sturt Street,Albert Street,Grenville Street South,South,14,71%,93%,100%,100%,71%,86%,79%,107%,7%,100%,100%,86%,107%,43%,64%
Sturt Street,Albert Street,Lydiard Street South,South,11,55%,55%,82%,82%,91%,64%,64%,82%,55%,73%,82%,82%,109%,64%,64%
Sturt Street,Armstrong Street North,Doveton Street North,North,14,14%,100%,100%,100%,100%,93%,93%,143%,14%,57%,100%,93%,93%,64%,86%
Sturt Street,Armstrong Street North,Lydiard Street North,North,4,100%,100%,25%,50%,25%,25%,125%,75%,50%,100%,75%,100%,25%,50%,100%
Sturt Street,Armstrong Street South,Doveton Street South,South,5,0%,60%,100%,80%,40%,100%,100%,120%,0%,100%,100%,100%,100%,100%,100%
Sturt Street,Armstrong Street South,Town Hall Lane,South,8,38%,25%,38%,50%,38%,100%,100%,75%,0%,75%,63%,75%,75%,75%,25%
Sturt Street,Camp Street,Grenville Street North,North,32,3%,38%,66%,75%,72%,69%,84%,91%,16%,47%,69%,88%,75%,47%,25%
Sturt Street,Camp Street,Lydiard Street North,North,6,0%,0%,33%,33%,67%,0%,83%,83%,0%,0%,17%,83%,83%,17%,67%
Sturt Street,Dawson Street North,Doveton Street North,North,9,33%,22%,56%,89%,100%,67%,100%,11%,22%,100%,100%,89%,89%,44%,0%
Sturt Street,Dawson Street North,Lyons Street North,North,7,0%,0%,0%,29%,14%,29%,0%,29%,0%,14%,0%,29%,29%,14%,14%
Sturt Street,Dawson Street South,Doveton Street South,South,14,100%,86%,93%,100%,107%,93%,93%,100%,86%,100%,93%,100%,100%,50%,43%
Sturt Street,Dawson Street South,Lyons Street South,South,18,0%,11%,28%,28%,22%,11%,11%,17%,0%,22%,44%,33%,33%,6%,0%
Sturt Street,Drummond Street North,Errard Street North,North,7,71%,100%,100%,57%,71%,86%,14%,14%,14%,43%,57%,100%,43%,29%,29%
Sturt Street,Drummond Street South,Errard Street South,South,9,44%,78%,100%,100%,67%,78%,67%,33%,11%,56%,44%,100%,89%,44%,78%
Sturt Street,Errard Street North,Raglan Street North,North,12,50%,92%,100%,67%,58%,83%,67%,0%,0%,0%,33%,8%,25%,8%,25%
Sturt Street,Errard Street South,Raglan Street South,South,22,55%,68%,77%,91%,91%,73%,55%,9%,36%,55%,91%,64%,45%,36%,18%
Sturt Street,Grenville Street South,Lydiard Street South,Median,54,6%,24%,43%,69%,70%,48%,43%,76%,9%,35%,52%,78%,89%,59%,19%
Sturt Street,Lydiard Street South,Town Hall Lane,South,8,88%,88%,88%,113%,100%,75%,100%,88%,38%,100%,88%,88%,75%,100%,100%
Sturt Street,Lyons Street North,Raglan Street North,North,26,23%,85%,88%,62%,81%,62%,85%,38%,0%,35%,42%,46%,8%,4%,8%
Sturt Street,Lyons Street South,Raglan Street South,South,17,0%,18%,18%,24%,35%,18%,24%,0%,0%,6%,18%,6%,29%,12%,0%
Victoria Street (north service road),East Street North,Pearse Street,North,12,67%,67%,100%,42%,92%,83%,58%,0%,0%,42%,58%,8%,17%,17%,25%
Victoria Street (north service road),Humffray Street,Pearse Street,South,6,17%,83%,83%,83%,83%,50%,17%,0%,0%,17%,17%,17%,33%,17%,0%
Victoria Street (south service road),East Street South,Humffray Street,End,2,50%,150%,150%,100%,150%,150%,0%,0%,0%,50%,50%,50%,100%,0%,0%
Victoria Street (south service road),East Street South,Humffray Street,North,8,50%,88%,88%,88%,88%,75%,50%,0%,25%,38%,38%,25%,38%,25%,13%
Victoria Street (south service road),East Street South,Humffray Street,South,24,21%,46%,67%,58%,63%,71%,63%,0%,0%,17%,17%,21%,17%,13%,4%
Victoria Street (south service road),East Street South,Princes Street South,North,2,0%,50%,50%,50%,0%,100%,50%,0%,0%,50%,50%,50%,0%,0%,0%
Victoria Street (south service road),East Street South,Princes Street South,South,27,15%,19%,22%,15%,15%,15%,26%,19%,15%,22%,33%,37%,11%,15%,30%
Webster Street,Davey Street,Lyons Street North,North,13,62%,92%,100%,108%,108%,108%,77%,62%,31%,31%,23%,38%,69%,31%,23%
Webster Street,Davey Street,Lyons Street North,South,14,93%,86%,93%,86%,100%,93%,79%,79%,50%,50%,43%,43%,29%,29%,43%
Webster Street,Davey Street,Yuille Street,North,16,44%,75%,88%,113%,119%,119%,63%,13%,0%,0%,19%,19%,25%,13%,6%
Webster Street,Davey Street,Yuille Street,South,14,86%,100%,100%,93%,100%,93%,71%,21%,43%,79%,93%,79%,64%,64%,29%
Webster Street,Doveton Street North,Yuille Street,North,10,20%,50%,80%,40%,60%,80%,70%,30%,20%,20%,30%,90%,40%,50%,40%
Webster Street,Doveton Street North,Yuille Street,South,7,14%,86%,100%,86%,86%,57%,29%,14%,0%,57%,86%,100%,43%,71%,0%
Webster Street,Drummond Street North,McWilliam Street,North,20,70%,95%,80%,75%,65%,50%,45%,40%,55%,65%,75%,55%,75%,55%,25%
Webster Street,Drummond Street North,McWilliam Street,South,20,75%,75%,95%,95%,95%,40%,10%,35%,45%,70%,60%,60%,75%,50%,10%
Webster Street,Loch Avenue,Lyons Street North,North,22,23%,77%,82%,73%,59%,55%,45%,14%,18%,27%,32%,23%,23%,27%,14%
